rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,complement_nb,Complement Naive Bayes,probabilistic,low,count_basic__complement_nb,completed,0.7,0.6904761904761906,0.6821428571428572,0.6880952380952382,0.7142857142857143,0.010294675827026367,0.0028684139251708984,25.8642578125,69.16071428571429,99.24884195327759,100,82.8881612477984,
2,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.06506586074829102,0.0026035308837890625,16.6875,64.78475935828878,99.11964298248292,100,80.45554624355542,
3,tfidf_word_1_1,TF-IDF Word Unigram,tfidf_word,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word_1_1__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.018997669219970703,0.0020227432250976562,19.06640625,60.541666666666664,99.38332126617432,100,78.17458091990153,
4,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.010959148406982422,0.001712799072265625,97.3369140625,62.308479532163744,97.88473888397218,85,76.5966115194845,
5,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,0.6,0.5704374057315235,0.5528054298642534,0.5634920634920635,0.6190476190476191,0.01012730598449707,0.0028922557830810547,23.4580078125,57.51832579185521,99.29654066085816,100,76.494387317692,
6,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.013382911682128906,0.0023145675659179688,16.51171875,60.48232323232323,99.45059410095215,85,75.9053965979682,
7,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.03741025924682617,0.001825571060180664,49.5009765625,60.541666666666664,98.6759846496582,85,75.78311359659831,
8,tfidf_word_1_1,TF-IDF Word Unigram,tfidf_word,low,complement_nb,Complement Naive Bayes,probabilistic,low,tfidf_word_1_1__complement_nb,completed,0.55,0.5177489177489177,0.5036363636363637,0.49603174603174605,0.5714285714285714,0.007921695709228516,0.0019235610961914062,28.1650390625,52.36948051948052,99.27375537872314,100,73.65796536145892,
9,tfidf_word_1_1,TF-IDF Word Unigram,tfidf_word,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word_1_1__linear_svc,completed,0.55,0.5710041592394534,0.5540998217468805,0.6,0.5634920634920635,0.0066509246826171875,0.0017316341400146484,18.9375,56.32174688057041,99.47744640350342,85,73.62245006501442,
10,hashing_word,HashingVectorizer Word,hashing,medium,complement_nb,Complement Naive Bayes,probabilistic,low,hashing_word__complement_nb,completed,0.6,0.5607142857142857,0.5458928571428572,0.5462962962962963,0.6190476190476191,0.007720947265625,0.0037047863006591797,113.3994140625,56.831250000000004,97.4633988571167,85,73.49986727142334,
11,hashing_word,HashingVectorizer Word,hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_word__linear_svc,completed,0.6,0.5851851851851851,0.5644444444444445,0.5959595959595959,0.6190476190476191,0.004522562026977539,0.003610372543334961,49.3564453125,58.577777777777776,98.76911336898803,70,72.47160045157538,
12,tfidf_word_1_1,TF-IDF Word Unigram,tfidf_word,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_word_1_1__multinomial_nb,completed,0.5,0.4845295055821371,0.47239234449760764,0.5166666666666667,0.5079365079365079,0.014617919921875,0.00400090217590332,25.7900390625,48.65765550239234,99.15643756866456,100,71.5929980400487,
13,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_3_5__logreg_balanced,completed,0.5,0.46547619047619043,0.46017857142857144,0.46296296296296297,0.5079365079365079,0.19946813583374023,0.02718949317932129,285.91015625,47.331250000000004,91.45361846923828,85,67.07291119384766,
14,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char_3_5__linear_svc,completed,0.5,0.47142857142857136,0.47000000000000003,0.4825396825396826,0.5079365079365079,0.05971956253051758,0.021744489669799805,285.765625,47.835714285714275,92.62170074462891,70,65.33398300606864,
15,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_char_3_5__multinomial_nb,completed,0.45,0.41659125188536955,0.414343891402715,0.42063492063492064,0.4523809523809524,0.040544986724853516,0.006203413009643555,402.9306640625,42.46063348416289,91.32591201782226,85,64.36853081985404,
16,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,complement_nb,Complement Naive Bayes,probabilistic,low,tfidf_char_3_5__complement_nb,completed,0.35,0.3512820512820513,0.34884615384615386,0.3666666666666667,0.35714285714285715,0.11767840385437012,0.031018972396850586,442.0556640625,35.05961538461539,88.59167795181274,85,59.751124051901016,
